age,workclass,education,marital-status,occupation,race,gender,hours-per-week,native-country,income
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,Asian-Pac-Islander,Male,40,High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,Asian-Pac-Islander,Male,40,High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,Black,Male,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,Black,Male,40,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,Black,Male,40,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,Black,Male,80,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,Black,Male,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,Black,Male,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,Black,Male,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,Black,Male,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,60,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,25,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,50,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,45,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,45,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,50,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,50,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,70,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,50,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Female,40,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,55,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,55,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,45,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,38,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,60,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,50,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,50,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,32,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,45,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,35,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[17, 41[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,55,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,48,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,50,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,50,Very High,>50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,48,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
"[41, 65[",Federal-gov,"[HS-grad, Prof-school]",*,*,White,Male,40,Very High,<=50K
