age,workclass,education,marital-status,occupation,race,gender,hours-per-week,native-country,income
"[53, 65[",Gov,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",38,Very High,<=50K
"[53, 65[",Gov,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",30,Very High,>50K
"[53, 65[",Gov,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",25,Very High,<=50K
"[53, 65[",Gov,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",45,Very High,<=50K
"[53, 65[",Gov,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,Very High,<=50K
"[53, 65[",Gov,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,Very High,>50K
"[53, 65[",Gov,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,Very High,>50K
"[29, 41[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,High,<=50K
"[29, 41[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",55,High,<=50K
"[29, 41[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",80,High,<=50K
"[29, 41[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,High,<=50K
"[29, 41[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,High,<=50K
"[29, 41[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,High,>50K
"[29, 41[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,High,<=50K
"[29, 41[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,High,<=50K
"[29, 41[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,High,<=50K
"[29, 41[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,High,<=50K
"[17, 29[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",40,Very High,<=50K
"[17, 29[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",20,Very High,<=50K
"[17, 29[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",30,Very High,<=50K
"[17, 29[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",15,Very High,<=50K
"[17, 29[",Private,"{9th, 10th, 11th, 12th}",*,*,*,"{Female, Male}",16,Very High,<=50K
